C:\Users\shash\AppData\Local\Programs\Python\Python312\Scripts\kaggle.exe : [sitecustomize] preload torch DLLs from 
C:\Users\shash\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\lib
At line:1 char:105
+ ...  8; $p++) { C:\Users\shash\AppData\Local\Programs\Python\Python312\Sc ...
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([sitecustomize]...kages\torch\lib:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[sitecustomize] torch preload results: [('libiompstubs5md.dll', True), ('libiomp5md.dll', True), 
simplexcomplex/run-the-ai-agent-locally-without-a-gpu,Run the AI Agent Locally WITHOUT a GPU,Aryan Yadav,2026-06-23 18:42:01.860000,8

akshitasrivastava1/omega-attack-v8-5-baseline-n500,omega attack v8 5 baseline n500,Akshita Srivastava,2026-06-23 14:30:35.493000,1

arizalfirdaus123/multi-turn-exfiltration-with-adaptive-burst,Multi-Turn Exfiltration with Adaptive Burst,Arizal Muluk,2026-07-02 09:14:05.297000,62

logiclab/test-deep,TEST´╝ÜDEEP,LogicLab,2026-06-26 01:04:28.800000,1

yaroslavkholmirzayev/ai-agent-security-achieve-and-validate,AI Agent Security | achieve and validate ­ƒîÇ,Yaroslav kholmirzayev,2026-06-30 09:23:24.307000,29

ericyhs/ai-agent-security-attack-v0-4,AI Agent Security Attack v0-4,EricYHS,2026-06-23 10:45:30.920000,3

akshitasrivastava1/omega-attack-v8-4-n500-gemma-a,omega attack v8 4 n500 gemma a,Akshita Srivastava,2026-06-23 06:27:21.860000,3

paul720810/hermes-openclaw-attack-e005-20260623-040534,Hermes OpenClaw Attack E005-20260623-040534,Paul720810,2026-06-23 04:05:37.637000,1

paul720810/hermes-openclaw-attack-e005-20260623-020944,Hermes OpenClaw Attack E005-20260623-020944,Paul720810,2026-06-23 02:09:49.067000,1

paul720810/hermes-openclaw-attack-e005-20260623-020427,Hermes OpenClaw Attack E005-20260623-020427,Paul720810,2026-06-23 02:04:30.940000,1

paul720810/hermes-openclaw-attack-e005-20260623-000740,Hermes OpenClaw Attack E005-20260623-000740,Paul720810,2026-06-23 00:07:44.280000,1

paul720810/hermes-openclaw-attack-e005-20260623-000650,Hermes OpenClaw Attack E005-20260623-000650,Paul720810,2026-06-23 00:06:56.197000,1

lucifer19/shadow-cat-firewall,­ƒÉêÔÇìÔ¼øÔÜí Shadow Cat Firewall,Krizs├│ Gergely,2026-07-18 07:51:20.777000,75

akshitasrivastava1/omega-attack-v8-3-gemma-phrase-a,omega attack v8 3 gemma phrase a,Akshita Srivastava,2026-06-22 22:39:59.277000,0

anasriaz/ai-agent-security,AI Agent Security ,Anas Riaz,2026-08-29 19:06:44.697000,108

paul720810/hermes-openclaw-attack-e005-20260622-181838,Hermes OpenClaw Attack E005-20260622-181838,Paul720810,2026-06-22 18:18:43.980000,1

paul720810/hermes-openclaw-attack-e005-20260622-181355,Hermes OpenClaw Attack E005-20260622-181355,Paul720810,2026-06-22 18:13:58.687000,1

sgzk001/ai-agent-security-smoke-submit,ai-agent-security-smoke-submit,SGzK001,2026-06-22 15:18:23.820000,1

paul720810/hermes-openclaw-attack-e005-20260622-121312,Hermes OpenClaw Attack E005-20260622-121312,Paul720810,2026-06-22 12:13:17.067000,3

paul720810/hermes-openclaw-attack-e005-20260622-121024,Hermes OpenClaw Attack E005-20260622-121024,Paul720810,2026-06-22 12:11:24.337000,1

canqiang/aiagsec-submission,AIAgSec Submission,Xander,2026-07-17 12:53:15.090000,82

saharmgh/notebook3,notebook3,Sahar Mgh,2026-07-13 15:02:11.393000,1

souldrive/why-your-attack-completes-but-scores-blank,Why Your Attack Completes but Scores BLANK ­ƒº▒,souldrive,2026-09-02 12:01:10.777000,7

seyominaoto/jed-attack-multi-strategy,jed attack multi strategy,Seyominaoto,2026-06-23 07:08:28.707000,0

sgzk001/ai-agent-security-optimized-attack,ai-agent-security-optimized-attack,SGzK001,2026-06-26 06:02:19.530000,1

rauffauzanrambe/chain-of-thought-security-mileware,Chain of Thought Security Mileware,Ra'uf Fauzan Rambe,2026-06-22 04:42:42.473000,8

paul720810/hermes-openclaw-attack-e005-20260622-035525,Hermes OpenClaw Attack E005-20260622-035525,Paul720810,2026-06-22 03:55:28.923000,2

paul720810/hermes-openclaw-attack-e005-20260622-025415,Hermes OpenClaw Attack E005-20260622-025415,Paul720810,2026-06-22 02:54:19.540000,2

caoyupeng/v23-alpha2co-667-break60,V23 Alpha2CO 667 Break60,SpeedSci,2026-06-22 02:49:18.317000,94

